Nom chimique/DCI,Numéro CAS,Numéro CE
"Isocyanate de o-(p-isocyanatobenzyl)phényle; diphénylméthane-2,4′-diisocyanate [3]",5873-54-1 [3],227-534-9 [3]
Diisocyanate de méthylènediphényle [4],26447-40-5 [4],247-714-0 [4]
"Cinidon-éthyle (ISO); (Z)-2-chloro-3-[2-chloro-5-(cyclohex-1-ène-1,2-dicarboximido)phényl]acrylate d'éthyle",142891-20-1,604-318-6
"N-[6,9-dihydro-9-[[2-hydroxy-1-(hydroxyméthyl)éthoxy]méthyl]-6-oxo-1H-purin-2-yl]acétamide",84245-12-5,424-550-1
"Dimoxystrobine (ISO); (E)-2-(méthoxyimino)-N-méthyl-2-[α-(2,5-xylyloxy)-o-tolyl]acétamide",149961-52-4,604-712-8
"Chlorhydrate de N,N-(diméthylamino)thioacétamide",27366-72-9,435-470-1
"Masse de réaction de: 2,2′-[(3,3′-dichloro[1,1′-biphényl]-4,4′-diyl)bis(azo)]bis[N-(2,4-diméthylphényl)]-3-oxo-butanamide; 2-[[3,3′-dichloro-4′-[[1[[(2,4-diméthylphényl)amino]carbonyl]-2-oxopropyl]azo][1,1′-biphényl]-4-yl]azo]-N-(2-méthylphényl)-3-oxo-butanamide; 2-[[3,3′-dichloro-4′-[[1[[(2,4-diméthylphényl)amino]carbonyl]-2-oxopropyl]azo][1,1′-biphényl]-4-yl]azo]-N-(2-carboxylphényl)-3-oxo-butanamide",,434-330-5
"Pétrole, charbon, goudron et gaz naturel, ainsi que leurs dérivés obtenus par distillation et/ou d'autres procédés de traitement s'ils contiennent ≥ 0,1 % p/p de benzène","85536-20-5
 85536-19-2
 90641-12-6
 90989-38-1
 91995-20-9
 92062-36-7
 91995-61-8
 101316-63-6
 93821-38-6
 90641-02-4
 101316-62-5
 90641-03-5
 65996-79-4
 101794-90-5
 90640-87-2
 84650-03-3
 65996-82-9
 90641-01-3
 65996-87-4
 90640-99-6
 68391-11-7
 92062-33-4
 91082-52-9
 68937-63-3
 92062-28-7
 92062-27-6
 91082-53-0
 91995-31-2
 91995-35-6
 91995-66-3
 122070-79-5
 122070-80-8
 65996-78-3
 94114-52-0
 94114-53-1
 94114-54-2
 94114-56-4
 94114-57-5
 90641-11-5
 8006-61-9
 8030-30-6
 8032-32-4
 64741-41-9
 64741-42-0
 64741-46-4
 64742-89-8
 68410-05-9
 68514-15-8
 68606-11-1
 68783-12-0
 68921-08-4
 101631-20-3
 64741-64-6
 64741-65-7
 64741-66-8
 64741-70-4
 64741-84-0
 64741-92-0
 68410-71-9
 68425-35-4
 68527-27-5
 91995-53-8
 92045-49-3
 92045-55-1
 92045-58-4
 92045-64-2
 101316-67-0
 64741-54-4
 64741-55-5
 68476-46-0
 68783-09-5
 91995-50-5
 92045-50-6
 92045-59-5
 92128-94-4
 101794-97-2
 101896-28-0
 64741-63-5
 64741-68-0
 68475-79-6
 68476-47-1
 68478-15-9
 68513-03-1
 68513-63-3
 68514-79-4
 68919-37-9
 68955-35-1
 85116-58-1
 91995-18-5
 93571-75-6
 93572-29-3
 93572-35-1
 93572-36-2
 64741-74-8
 64741-83-9
 67891-79-6
 67891-80-9
 68425-29-6
 68475-70-7
 68603-00-9
 68603-01-0
 68603-03-2
 68955-29-3
 92045-65-3
 64742-48-9
 64742-49-0
 64742-73-0
 68410-96-8
 68410-97-9
 68410-98-0
 68512-78-7
 85116-60-5
 85116-61-6
 92045-51-7
 92045-52-8
 92045-57-3
 92045-61-9
 92062-15-2
 93165-55-0
 93763-33-8
 93763-34-9
 64741-47-5
 64741-48-6
 64741-69-1
 64741-78-2
 64741-87-3
 64742-15-0
 64742-22-9
 64742-23-0
 64742-66-1
 64742-83-2
 64742-95-6
 68131-49-7
 68477-34-9
 68477-50-9
 68477-53-2
 68477-55-4
 68477-61-2
 68477-89-4
 68478-12-6
 68478-16-0
 68513-02-0
 68516-20-1
 68527-21-9
 68527-22-0
 68527-23-1
 68527-26-4
 68603-08-7
 68606-10-0
 68783-66-4
 68919-39-1
 68921-09-5
 85116-59-2
 86290-81-5
 90989-42-7
 91995-38-9
 91995-41-4
 91995-68-5
 92045-53-9
 92045-60-8
 92045-62-0
 92045-63-1
 92201-97-3
 93165-19-6
 94114-03-1
 95009-23-7
 97926-43-7
 98219-46-6
 98219-47-7
 101316-56-7
 101316-66-9
 101316-76-1
 101795-01-1
 102110-14-5
 68476-50-6
 68476-55-1
 90989-39-2","287-502-5
 287-500-4
 292-636-2
 292-694-9
 295-281-1
 295-551-9
 295-323-9
 309-868-8
 298-725-2
 292-625-2
 309-867-2
 292-626-8
 266-013-0
 309-971-8
 292-609-5
 283-483-2
 266-016-7
 292-624-7
 266-021-4
 292-622-6
 269-929-9
 295-548-2
 293-766-2
 273-077-3
 295-543-5
 295-541-4
 293-767-8
 295-292-1
 295-295-8
 295-329-1
 310-170-0
 310-171-6
 266-012-5
 302-688-0
 302-689-6
 302-690-1
 302-692-2
 302-693-8
 292-635-7
 232-349-1
 232-443-2
 232-453-7
 265-041-0
 265-042-6
 265-046-8
 265-192-2
 270-077-5
 271-025-4
 271-727-0
 272-186-3
 272-931-2
 309-945-6
 265-066-7
 265-067-2
 265-068-8
 265-073-5
 265-086-6
 265-095-5
 270-088-5
 270-349-3
 271-267-0
 295-315-5
 295-430-0
 295-436-3
 295-440-5
 295-446-8
 309-871-4
 265-055-7
 265-056-2
 270-686-6
 272-185-8
 295-311-3
 295-431-6
 295-441-0
 295-794-0
 309-974-4
 309-987-5
 265-065-1
 265-070-9
 270-660-4
 270-687-1
 270-794-3
 270-993-5
 271-008-1
 271-058-4
 272-895-8
 273-271-8
 285-509-8
 295-279-0
 297-401-8
 297-458-9
 297-465-7
 297-466-2
 265-075-6
 265-085-0
 267-563-4
 267-565-5
 270-344-6
 270-658-3
 271-631-9
 271-632-4
 271-634-5
 273-266-0
 295-447-3
 265-150-3
 265-151-9
 265-178-6
 270-092-7
 270-093-2
 270-094-8
 270-988-8
 285-511-9
 285-512-4
 295-432-1
 295-433-7
 295-438-4
 295-443-1
 295-529-9
 296-942-7
 297-852-0
 297-853-6
 265-047-3
 265-048-9
 265-071-4
 265-079-8
 265-089-2
 265-115-2
 265-122-0
 265-123-6
 265-170-2
 265-187-5
 265-199-0
 268-618-5
 270-725-7
 270-735-1
 270-736-7
 270-738-8
 270-741-4
 270-771-8
 270-791-7
 270-795-9
 270-991-4
 271-138-9
 271-262-3
 271-263-9
 271-264-4
 271-266-5
 271-635-0
 271-726-5
 272-206-0
 272-896-3
 272-932-8
 285-510-3
 289-220-8
 292-698-0
 295-298-4
 295-302-4
 295-331-2
 295-434-2
 295-442-6
 295-444-7
 295-445-2
 296-028-8
 296-903-4
 302-639-3
 305-750-5
 308-261-5
 308-713-1
 308-714-7
 309-862-5
 309-870-9
 309-879-8
 309-976-5
 310-012-0
 270-690-8
 270-695-5
 292-695-4"
"Pétrole, charbon, goudron et gaz naturel, ainsi que leurs dérivés obtenus par distillation et/ou d'autres procédés de traitement s'ils contiennent ≥ 0,005 % p/p de benzo[a]pyrène","90640-85-0
 92061-93-3
 90640-84-9
 61789-28-4
 70321-79-8
 122384-77-4
 70321-80-1","292-606-9
 295-506-3
 292-605-3
 263-047-8
 274-565-9
 310-189-4
 274-566-4"
"Pétrole, charbon, goudron et gaz naturel, ainsi que leurs dérivés obtenus par distillation et/ou d'autres procédés de traitement s'ils contiennent ≥ 0,1 % p/p de benzène ou s'ils contiennent ≥ 0,005 % p/p de benzo[a]pyrène","85029-51-2
 84650-04-4
 84989-09-3
 91995-49-2
 121620-47-1
 121620-48-2
 90640-90-7
 90641-04-6
 101896-27-9
 101794-91-6
 91995-48-1
 90641-05-7
 84989-12-8
 121620-46-0
 90640-81-6
 90640-82-7
 92061-92-2
 91995-15-2
 91995-16-3
 91995-17-4
 101316-87-4
 122384-78-5
 84988-93-2
 90640-88-3
 65996-83-0
 90640-89-4
 90641-06-8
 65996-85-2
 101316-86-3
 92062-22-1
 96690-55-0
 84989-04-8
 84989-05-9
 84989-06-0
 84989-03-7
 84989-07-1
 68477-23-6
 68555-24-8
 91079-47-9
 92062-26-5
 94114-29-1
 90641-00-2
 68513-87-1
 70321-67-4
 92062-29-8
 100801-63-6
 100801-65-8
 100801-66-9
 73665-18-6
 68815-21-4
 65996-86-3
 65996-84-1","285-076-5
 283-484-8
 284-898-1
 295-310-8
 310-166-9
 310-167-4
 292-612-1
 292-627-3
 309-985-4
 309-972-3
 295-309-2
 292-628-9
 284-901-6
 310-165-3
 292-603-2
 292-604-8
 295-505-8
 295-275-9
 295-276-4
 295-278-5
 309-889-2
 310-191-5
 284-881-9
 292-610-0
 266-017-2
 292-611-6
 292-629-4
 266-019-3
 309-888-7
 295-536-7
 306-251-5
 284-892-9
 284-893-4
 284-895-5
 284-891-3
 284-896-0
 270-713-1
 271-418-0
 293-435-2
 295-540-9
 302-662-9
 292-623-1
 271-020-7
 274-560-1
 295-544-0
 309-745-9
 309-748-5
 309-749-0
 277-567-8
 272-361-4
 266-020-9
 266-018-8"
"Pétrole, charbon, goudron et gaz naturel, ainsi que leurs dérivés obtenus par distillation et/ou d'autres procédés de traitement s'ils contiennent ≥ 0,1 % p/p de 1,3-butadiène","68607-11-4
 68783-06-2
 68814-67-5
 68814-90-4
 68911-58-0
 68911-59-1
 68919-01-7
 68919-02-8
 68919-03-9
 68919-04-0
 68919-07-3
 68919-08-4
 68919-11-9
 68919-12-0
 68952-79-4
 68952-80-7
 68955-33-9
 68989-88-8
 92045-15-3
 92045-16-4
 92045-17-5
 92045-18-6
 92045-19-7
 92045-20-0
 68131-75-9
 68307-98-2
 68307-99-3
 68308-00-9
 68308-01-0
 68308-10-1
 68308-03-2
 68308-04-3
 68308-05-4
 68308-06-5
 68308-07-6
 68308-09-8
 68308-11-2
 68308-12-3
 68409-99-4
 68475-57-0
 68475-58-1
 68475-59-2
 68475-60-5
 68476-26-6
 68476-29-9
 68476-40-4
 68476-42-6
 68476-49-3
 68476-85-7
 68476-86-8
 68477-33-8
 68477-35-0
 68477-69-0
 68477-70-3
 68477-71-4
 68477-72-5
 68308-08-7","271-750-6
 272-182-1
 272-338-9
 272-343-6
 272-775-5
 272-776-0
 272-873-8
 272-874-3
 272-875-9
 272-876-4
 272-880-6
 272-881-1
 272-884-8
 272-885-3
 273-173-5
 273-174-0
 273-269-7
 273-563-5
 295-397-2
 295-398-8
 295-399-3
 295-400-7
 295-401-2
 295-402-8
 268-629-5
 269-617-2
 269-618-8
 269-619-3
 269-620-9
 269-630-3
 269-623-5
 269-624-0
 269-625-6
 269-626-1
 269-627-7
 269-629-8
 269-631-9
 269-632-4
 270-071-2
 270-651-5
 270-652-0
 270-653-6
 270-654-1
 270-667-2
 270-670-9
 270-681-9
 270-682-4
 270-689-2
 270-704-2
 270-705-8
 270-724-1
 270-726-2
 270-750-3
 270-751-9
 270-752-4
 270-754-5
 269-628-2"
Phosphate de tris[2-chloro-1-(chlorométhyl)éthyle],13674-87-8,237-159-2
Phosphure d'indium,22398-80-7,244-959-5
Phosphate de trixylyle,25155-23-1,246-677-8
Hexabromocyclododécane [1],25637-99-4 [1],247-148-4 [1]
"1,2,5,6,9,10-Hexabromocyclododécane [2]",3194-55-6 [2],221-695-9 [2]
Tétrahydrofurane,109-99-9,203-726-8
Abamectine (combinaison d'avermectine B1a et d'avermectine B1b) (ISO) [1],71751-41-2 [1],615-339-5 [1]
Avermectine B1a [2],65195-55-3 [2],265-610-3 [2]
Acide 4-tert-butylbenzoïque,98-73-7,202-696-3
"Vert de leucomalachite; N,N,N′,N′-tétraméthyl-4,4′-benzylidènedianiline",129-73-7,204-961-9
Fubéridazole (ISO); 2-(2-furyl)-1H-benzimidazole,3878-19-1,223-404-0
"Métazachlore (ISO); 2-chloro-N-(2,6-diméthylphényl)-N-(1H-pyrazol-1-ylméthyl)acétamide",67129-08-02,266-583-0
Peroxyde de di-tert-butyle,0110-05-04,203-733-6
Trichlorométhylstannane,993-16-8,213-608-8
"10-Éthyl-4-[[2-[(2-éthylhexyl)oxy]-2-oxoéthyl]thio]-4-méthyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradécanoate de 2-éthylhexyle",57583-34-3,260-828-5
"10-Éthyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradécanoate de 2-éthylhexyle",15571-58-1,239-622-4
"Sulcotrione (ISO); 2-[2-chloro-4-(méthylsulfonyl)benzoyl]cyclohexane-1,3-dione",99105-77-8,619-394-6
"Bifenthrine (ISO); rel-(1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-én-1-yl]-2,2-diméthylcyclopropanecarboxylate de (2-méthylbiphényl-3-yl)méthyle",82657-04-03,617-373-6
Phtalate de dihexyle,84-75-3,201-559-5
Pentadécafluorooctanoate d'ammonium,3825-26-1,223-320-4
Acide perfluorooctanoïque,335-67-1,206-397-9
N-Éthyl-2-pyrrolidone; 1-éthylpyrrolidin-2-one,2687-91-4,220-250-6
Proquinazide (ISO); 6-iodo-2-propoxy-3-propylquinazolin-4(3H)-one,189278-12-4,606-168-7
Arséniure de gallium,1303-00-0,215-114-8
Acétate de vinyle,0108-05-04,203-545-4
Aclonifène (ISO); 2-chloro-6-nitro-3-phénoxyaniline,74070-46-5,277-704-1
"10-Éthyl-4,4-diméthyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradécanoate de 2-éthylhexyle",57583-35-4,260-829-0
Dichlorure de diméthylétain,753-73-1,212-039-2
4-Vinylcyclohexène,100-40-3,202-848-9
Tralkoxydime (ISO); 2-(N-éthoxypropanimidoyl)-3-hydroxy-5-mésitylcyclohex-2-én-1-one,87820-88-0,618-075-9
Cycloxydime (ISO); 2-(N-éthoxybutanimidoyl)-3-hydroxy-5-(tétrahydro-2H-thiopyran-3-yl)cyclohex-2-én-1-one,101205-02-1,405-230-9
"Fluazinam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4-(trifluorométhyl)phényl]-5-(trifluorométhyl)pyridin-2-amine",79622-59-6,616-712-5
"Penconazole (ISO); 1-[2-(2,4-dichlorophényl)pentyl]-1H-1,2,4-triazole",66246-88-6,266-275-6
Fénoxycarbe (ISO); [2-(4-phénoxyphénoxy)éthyl]carbamate d'éthyle,72490-01-08,276-696-7
Styrène,100-42-5,202-851-5
Tétrahydro-2-furylméthanol; alcool tétrahydrofurfurylique,97-99-4,202-625-6
Formaldéhyde,50-00-0,200-001-8
Paraformaldéhyde,30525-89-4,608-494-5
"Méthanediol, méthylène glycol",463-57-0,207-339-5
Cymoxanile (ISO); 2-cyano-N-[(éthylamino)carbonyl]-2-(méthoxyimino)acétamide,57966-95-7,261-043-0
Composés de tributylétain,,
"Tembotrione (ISO); 2-{2-chloro-4-(méthylsulfonyl)-3-[(2,2,2-trifluoroéthoxy)méthyl]benzoyl}cyclohexane-1,3-dione",335104-84-2,608-879-8
"Acide 1,2-benzènedicarboxylique, ester de dihexyle, ramifié et linéaire",68515-50-4,271-093-5
"Spirotétramate (ISO); carbonate de (5 s,8 s)-3-(2,5-diméthylphényl)-8-méthoxy-2-oxo-1-azaspiro[4,5]déc-3-én-4-yle et d'éthyle",203313-25-1,606-523-6
"Acétate de dodémorphe; acétate de 4-cyclododécyl-2,6-diméthylmorpholin-4-ium",31717-87-0,250-778-2
"Triflusulfuron-méthyle; 2-({[4-(diméthylamino)-6-(2,2,2-trifluoroéthoxy)-1,3,5-triazin-2-yl]carbamoyl}sulfamoyl)-3-méthylbenzoate de méthyle",126535-15-7,603-146-9
"Imazalil (ISO); 1-[2-(allyloxy)-2-(2,4-dichlorophényl)éthyl]-1H-imidazole",35554-44-0,252-615-0
"Dodémorphe (ISO); 4-cyclododécyl-2,6-diméthylmorpholine",1593-77-7,216-474-9
Imidazole,288-32-4,206-019-2
"Lénacile (ISO); 3-cyclohexyl-6,7-dihydro-1H-cyclopenta[d]pyrimidine-2,4(3H, 5H)-dione",2164-08-01,218-499-0
"Métosulam (ISO); N-(2,6-dichloro-3-méthylphényl)-5,7-diméthoxy[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",139528-85-1,604-145-6
2-Méthyl-1-(4-méthylthiophényl)-2-morpholino-propan-1-one,71868-10-5,400-600-6
"Méthacrylate de 2,3-époxypropyle; méthacrylate de glycidyle",106-91-2,203-441-9
"Spiroxamine (ISO); 8-tert-butyl-1,4-dioxaspirol[4.5]décan-2-ylméthyl(éthyl)(propyl)amine",118134-30-8,601-505-4
Cyanamide; carbanonitrile,0420-04-02,206-992-3
"Cyproconazole (ISO); (2RS, 3RS,2RS,3SR)-2-(4-chlorophényl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",94361-06-05,619-020-1
Zéolite d'argent et de zinc,130328-20-0,603-404-0
Carbonate de cadmium,513-78-0,208-168-9
Hydroxyde de cadmium; dihydroxide de cadmium,21041-95-2,244-168-5
Nitrate de cadmium; dinitrate de cadmium,10325-94-7,233-710-6
Dilaurate de dibutylétain; dibutyl[bis(dodécanoyloxy)]stannane,77-58-7,201-039-8
Clorofène; chlorophène; 2-benzyl-4-chlorophénol,120-32-1,204-385-8
Anthraquinone,84-65-1,201-549-0
Acide nonadécafluorodécanoïque [1],335-76-2 [1],206-400-3 [1]
Nonadécafluorodécanoate d'ammonium [2],3108-42-7 [2],221-470-5 [2] [3]
Nonadécafluorodécanoate de sodium [3],3830-45-3 [3],
"N,N′-méthylènedimorpholine; N,N′-méthylènebismorpholine; [formaldéhyde libéré par N,N′-méthylènebismorpholine]; [MBM]
 si la concentration de formaldéhyde libérable maximale théorique, quelle qu'en soit la source, dans le mélange tel qu'il est mis sur le marché est ≥ à 0,1 % p/p",5625-90-1,227-062-3
"Produits de réaction de paraformaldéhyde avec 2-hydroxypropylamine (3:2); [formaldéhyde libéré par 3,3′-méthylènebis[5-méthyloxazolidine]; [formaldéhyde libéré par oxazolidine]; [MBO]
 si la concentration de formaldéhyde libérable maximale théorique, quelle qu'en soit la source, dans le mélange tel qu'il est mis sur le marché est ≥ à 0,1 % p/p",,—
"Produits de réaction de paraformaldéhyde avec 2-hydroxypropylamine (1:1); [formaldéhyde libéré par α,α,α-triméthyl-1,3,5-triazine-1,3,5(2H,4H,6H)-triéthanol]; [HPT]
 si la concentration de formaldéhyde libérable maximale théorique, quelle qu'en soit la source, dans le mélange tel qu'il est mis sur le marché est ≥ à 0,1 % p/p",,—
Méthylhydrazine,60-34-4,200-471-4
"Triadimenol (ISO); (1RS,2RS,1RS,2SR)-1-4-chlorophénoxy)-3-3-diméthyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol; α-tert-butyl-β-(4-chlorophénoxy)-1H-1,2,4-triazole-1-éthanol",55219-65-3,259-537-6
"Thiaclopride (ISO); (Z)-3-(6-chloro-3-pyridyl-méhyl)-1-3-thiazolidin-2-ylidénécyanamide; {(2Z)-3-[(6-chloropyridin-3-yl)méthyl]-1,-3-thiazolidin-2-ylidene}cyanamide",111988-49-9,601-147-9
Carbetamide(ISO); (R)-1-(éthylcarbamoyl) éthyl-carbanilate; (2R)-1-(éthylamino)-1-oxopro-pan-2-yl-phénylcarbamate,16118-49-3,240-286-6
"Pirimicarb (ISO); diméthylcarbamate de 2-(diméthylamino)-5,6-diméthylpyrimidin-4-yle",23103-98-2,245-430-1
"1,2-Dichloropropane; dichlorure de propylène",78-87-5,201-152-2
"Dodécylphénol, ramifié [1]",121158-58-5 [1],310-154-3 [1]
"2-Dodécylphénol, ramifié [2]",1801269-80-6 [2],— [2]
"3-Dodécylphénol, ramifié [3]",1801269-77-1 [3],— [3]
"4-Dodécylphénol, ramifié [4]",210555-94-5 [4],640-104-9 [4]
Dérivés (tétrapropényl) du phénol [5],74499-35-7 [5],616-100-8 [5]
"Coumatétralyle (ISO); 4-hydroxy-3-(1,2,3,4-tétrahydro-1-naphthyl)coumarine",5836-29-3,227-424-0
"Difénacoum (ISO); 3-(3- biphényl-4-yl-1,2,3,4- tétrahydro-1-naphthyl)-4-hydroxycoumarine",56073-07-05,259-978-4
"Brodifacoum (ISO); 4-hydroxy-3-(3-(4′-bromo-4-biphénylyl)-1,2,3,4-tétrahydro-1-naphthyl)coumarine",56073-10-0,259-980-5
"Flocoumafène (ISO); masse de réaction de cis-4-hydroxy-3-(1,2,3,4-tétrahydro-3-(4-(4-trifluorométhylbenzyloxy)phényl)-1-naphtyl)coumarine et de trans-4-hydroxy-3-(1,2,3,4-tétrahydro-3-(4-(4-trifluorométhylbenzyloxy)phényl)-1-naphtyl)coumarine",90035-08-08,421-960-0
Acétochlor (ISO); 2-chloro-N-(éthoxyméthyl)-N-(2-éthyl-6-méthylphényl)acétamide,34256-82-1,251-899-3
Microfibres de verre E de composition représentative,,—
Microfibres de verre de composition représentative,,—
Bromadiolone (ISO); 3-[3-(4′-bromobiphényl-4-yl)-3-hydroxy-1-phénylpropyl]-4-hydroxy-2H-chromén-2-one,28772-56-7,249-205-9
"Diféthialone (ISO); 3-[3-(4′-bromobiphényl-4-yl)-1,2,3,4-tétrahydronaphthalén-1-yl]- 4-hydroxy-2H-1-benzothiopyran-2-one",104653-34-1,600-594-7
Acide perfluorononan-1-oïque [1],375-95-1 [1],206-801-3 [1]
et ses sels de sodium [2],21049-39-8 [2],— [2]
et d’ammonium [3],4149-60-4 [3],— [3]
Phtalate de dicyclohexyle,84-61-7,201-545-9
"3,7-Diméthylocta-2,6-diènenitrile",5146-66-7,225-918-0
Bupirimate (ISO); diméthylsulfamate de 5-butyl-2-éthylamino-6-méthylpyrimidin-4-yle,41483-43-6,255-391-2
Triflumizole (ISO); (1E)-N-[4-chloro-2-(trifluorométhyl)phényl]-1-(1H-imidazol-1-yl)-2- propoxyéthanimine,68694-11-1,604-708-8
Hydroperoxyde de tert-butyle,75-91-2,200-915-7
